Sample	salmon-percent_mapped	salmon-num_mapped	salmon-library_types	salmon-compatible_fragment_ratio	salmon-strand_mapping_bias
EDLL257	88.02597753039248	15.703999	IU	100.0	0.4961927854010169
EDLL258	84.56793153168721	17.247391999999998	IU	100.0	0.49651105651105654
EDLL267	84.78860987932603	15.455511999999999	IU	100.0	0.49735788786245255
EDLL268	83.90829745622874	12.249502999999999	IU	100.0	0.496274947367312
EDLR257	84.51188085281305	19.597061999999998	IU	100.0	0.497471576947176
EDLR258	81.91468348063366	15.269205	IU	100.0	0.49656529236194963
EDLR267	83.03590736666845	14.299411	IU	100.0	0.49753716193687725
EDLR268	84.0412672112854	18.126117999999998	IU	100.0	0.4957760642012772
TAL257	91.7985745581814	12.245804999999999	ISR	100.0	1.970632197073217e-05
TAL258	91.41144403891893	11.536477999999999	ISR	100.0	2.6907058129029942e-05
TAL259	91.49266191356269	11.654392	ISR	100.0	2.1712675555606062e-05
TAL260	91.32234649960435	11.280244	ISR	100.0	1.876307551825178e-05
TAL261	91.82119504033693	11.317582999999999	ISR	100.0	2.2221776863662026e-05
TAL262	91.21131438355079	11.507036999999999	ISR	100.0	1.8804641355413888e-05
TAL263	91.98077321757938	10.759198	ISR	100.0	2.1436577785163944e-05
TAL264	91.95159490286676	11.792804	ISR	100.0	2.136578998395953e-05
TAL265	90.20524930854762	10.910499	ISR	100.0	1.9762644057323524e-05
TAL267	91.72840122563967	10.802885	ISR	100.0	2.4449921425321008e-05
TAL268	91.68044723062458	11.417451999999999	ISR	100.0	2.344253275245354e-05
TAL275	91.40956524207314	10.756297	ISR	100.0	2.5221575481475934e-05
TAL421	86.14111498257839	16.405851	IU	100.0	0.49589684752384483
TAL422	85.79516859682809	11.304235	IU	100.0	0.4951369538690039
TAL423	86.15332388752331	16.930025	IU	100.0	0.4988014161150709
TAL424	84.78070550301935	14.442772999999999	IU	100.0	0.49609183456238115
TAL425	84.79278022678284	13.738741	IU	100.0	0.4959621435808104
TAL426	83.3635456919364	13.898817999999999	IU	100.0	0.496574919941633
TAL427	78.82099775359667	13.779969999999999	IU	100.0	0.49802323686478095
TAL428	79.85506995286109	14.05797	IU	100.0	0.49789195155708776
TAL429	83.49066432357652	14.22458	IU	100.0	0.4985617382780255
TAL430	84.25851612313868	15.329713	IU	100.0	0.4995797017974559
TAL431	83.968342761803	13.003549999999999	IU	100.0	0.49837183690996434
TAL432	85.68293063038166	16.851172	IU	100.0	0.49547772300485343
TAL433	82.14465768350166	14.354705	IU	100.0	0.4955663615975425
TAL434	83.2641395491636	20.608722999999998	IU	100.0	0.4942948639636987
TAL435	82.43303659560192	16.786013999999998	IU	100.0	0.49665060024422875
TAL436	81.7008056222146	16.777815999999998	IU	100.0	0.49728589368061327
TAL437	86.4556847704171	16.120629	IU	100.0	0.49621908242646623
TAL440	84.2108673565983	15.790085	IU	100.0	0.49526225618712155
