Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
EDLL257	1.10.3	none	vb	[]	1	['IU']	1001	297.75386059833306	70.31251628355797	True	True	4096	mapping	False	46728	0	80811	False	['range_factorized', 'gzipped']	[1144, 1878, 2739, 4100, 31214]	30d7837b9b5ec1f21013a231b603874664d8862dabaf2fab27e82baf21146cb7	1ecb82ade08c5ee3dd262d5c676122d31a11e5ab6f7d46333638b37eec97d3c1	73fd6a8c3e5de42cc69681266626ebc9d296d1b534eb0cccd73c93106cd145c5d048794bdc7181bb1231a611f5bf33cb70eb6d30e954e7fe68564c8e16a07949	b9bc5cca2cb31ced5b536b561a6fc1a3c092ec9596486a897fe008f0aba83a93f96565ff8f07615f3f76c77c48fedada6ded6caf3f24a9db5c9a17b638e9d5f1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	17840187	15703999	0	473362	1028830	7586363	88.02597753039248	quant	Sun Jan 25 18:29:51 2026	Sun Jan 25 18:31:48 2026
EDLL258	1.10.3	none	vb	[]	1	['IU']	1001	297.47519770605766	70.61497995678478	True	True	4096	mapping	False	46728	0	84302	False	['range_factorized', 'gzipped']	[1144, 1878, 2739, 4100, 31214]	30d7837b9b5ec1f21013a231b603874664d8862dabaf2fab27e82baf21146cb7	1ecb82ade08c5ee3dd262d5c676122d31a11e5ab6f7d46333638b37eec97d3c1	73fd6a8c3e5de42cc69681266626ebc9d296d1b534eb0cccd73c93106cd145c5d048794bdc7181bb1231a611f5bf33cb70eb6d30e954e7fe68564c8e16a07949	b9bc5cca2cb31ced5b536b561a6fc1a3c092ec9596486a897fe008f0aba83a93f96565ff8f07615f3f76c77c48fedada6ded6caf3f24a9db5c9a17b638e9d5f1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	20394719	17247392	0	482339	1319559	11606436	84.56793153168721	quant	Sun Jan 25 18:31:49 2026	Sun Jan 25 18:34:15 2026
EDLL267	1.10.3	none	vb	[]	1	['IU']	1001	308.0257022136678	73.54428704436967	True	True	4096	mapping	False	46728	0	82303	False	['range_factorized', 'gzipped']	[1144, 1878, 2739, 4100, 31214]	30d7837b9b5ec1f21013a231b603874664d8862dabaf2fab27e82baf21146cb7	1ecb82ade08c5ee3dd262d5c676122d31a11e5ab6f7d46333638b37eec97d3c1	73fd6a8c3e5de42cc69681266626ebc9d296d1b534eb0cccd73c93106cd145c5d048794bdc7181bb1231a611f5bf33cb70eb6d30e954e7fe68564c8e16a07949	b9bc5cca2cb31ced5b536b561a6fc1a3c092ec9596486a897fe008f0aba83a93f96565ff8f07615f3f76c77c48fedada6ded6caf3f24a9db5c9a17b638e9d5f1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	18228288	15455512	0	429663	1181944	9745403	84.78860987932603	quant	Sun Jan 25 18:34:16 2026	Sun Jan 25 18:36:18 2026
EDLL268	1.10.3	none	vb	[]	1	['IU']	1001	301.7590962558902	71.22194090747779	True	True	4096	mapping	False	46728	0	76156	False	['range_factorized', 'gzipped']	[1144, 1878, 2739, 4100, 31214]	30d7837b9b5ec1f21013a231b603874664d8862dabaf2fab27e82baf21146cb7	1ecb82ade08c5ee3dd262d5c676122d31a11e5ab6f7d46333638b37eec97d3c1	73fd6a8c3e5de42cc69681266626ebc9d296d1b534eb0cccd73c93106cd145c5d048794bdc7181bb1231a611f5bf33cb70eb6d30e954e7fe68564c8e16a07949	b9bc5cca2cb31ced5b536b561a6fc1a3c092ec9596486a897fe008f0aba83a93f96565ff8f07615f3f76c77c48fedada6ded6caf3f24a9db5c9a17b638e9d5f1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	14598679	12249503	0	309265	961401	8705701	83.90829745622874	quant	Sun Jan 25 18:36:19 2026	Sun Jan 25 18:38:16 2026
EDLR257	1.10.3	none	vb	[]	1	['IU']	1001	312.34984776627766	70.38365245078865	True	True	4096	mapping	False	46728	0	91734	False	['range_factorized', 'gzipped']	[1144, 1878, 2739, 4100, 31214]	30d7837b9b5ec1f21013a231b603874664d8862dabaf2fab27e82baf21146cb7	1ecb82ade08c5ee3dd262d5c676122d31a11e5ab6f7d46333638b37eec97d3c1	73fd6a8c3e5de42cc69681266626ebc9d296d1b534eb0cccd73c93106cd145c5d048794bdc7181bb1231a611f5bf33cb70eb6d30e954e7fe68564c8e16a07949	b9bc5cca2cb31ced5b536b561a6fc1a3c092ec9596486a897fe008f0aba83a93f96565ff8f07615f3f76c77c48fedada6ded6caf3f24a9db5c9a17b638e9d5f1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	23188529	19597062	0	351594	1477683	12508136	84.51188085281305	quant	Sun Jan 25 18:38:17 2026	Sun Jan 25 18:40:49 2026
EDLR258	1.10.3	none	vb	[]	1	['IU']	1001	300.6870399428121	71.8474618156495	True	True	4096	mapping	False	46728	0	81602	False	['range_factorized', 'gzipped']	[1144, 1878, 2739, 4100, 31214]	30d7837b9b5ec1f21013a231b603874664d8862dabaf2fab27e82baf21146cb7	1ecb82ade08c5ee3dd262d5c676122d31a11e5ab6f7d46333638b37eec97d3c1	73fd6a8c3e5de42cc69681266626ebc9d296d1b534eb0cccd73c93106cd145c5d048794bdc7181bb1231a611f5bf33cb70eb6d30e954e7fe68564c8e16a07949	b9bc5cca2cb31ced5b536b561a6fc1a3c092ec9596486a897fe008f0aba83a93f96565ff8f07615f3f76c77c48fedada6ded6caf3f24a9db5c9a17b638e9d5f1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	18640376	15269205	0	483822	1301919	12884396	81.91468348063366	quant	Sun Jan 25 18:40:50 2026	Sun Jan 25 18:43:08 2026
EDLR267	1.10.3	none	vb	[]	1	['IU']	1001	305.8136666673977	71.38423859935656	True	True	4096	mapping	False	46728	0	83332	False	['range_factorized', 'gzipped']	[1144, 1878, 2739, 4100, 31214]	30d7837b9b5ec1f21013a231b603874664d8862dabaf2fab27e82baf21146cb7	1ecb82ade08c5ee3dd262d5c676122d31a11e5ab6f7d46333638b37eec97d3c1	73fd6a8c3e5de42cc69681266626ebc9d296d1b534eb0cccd73c93106cd145c5d048794bdc7181bb1231a611f5bf33cb70eb6d30e954e7fe68564c8e16a07949	b9bc5cca2cb31ced5b536b561a6fc1a3c092ec9596486a897fe008f0aba83a93f96565ff8f07615f3f76c77c48fedada6ded6caf3f24a9db5c9a17b638e9d5f1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	17220756	14299411	0	331108	1196736	10162827	83.03590736666845	quant	Sun Jan 25 18:43:09 2026	Sun Jan 25 18:45:10 2026
EDLR268	1.10.3	none	vb	[]	1	['IU']	1001	300.643038175755	69.83053801525774	True	True	4096	mapping	False	46728	0	87333	False	['range_factorized', 'gzipped']	[1144, 1878, 2739, 4100, 31214]	30d7837b9b5ec1f21013a231b603874664d8862dabaf2fab27e82baf21146cb7	1ecb82ade08c5ee3dd262d5c676122d31a11e5ab6f7d46333638b37eec97d3c1	73fd6a8c3e5de42cc69681266626ebc9d296d1b534eb0cccd73c93106cd145c5d048794bdc7181bb1231a611f5bf33cb70eb6d30e954e7fe68564c8e16a07949	b9bc5cca2cb31ced5b536b561a6fc1a3c092ec9596486a897fe008f0aba83a93f96565ff8f07615f3f76c77c48fedada6ded6caf3f24a9db5c9a17b638e9d5f1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	21568116	18126118	0	443101	1408184	12621707	84.0412672112854	quant	Sun Jan 25 18:45:11 2026	Sun Jan 25 18:47:55 2026
TAL257	1.10.3	none	vb	[]	1	['ISR']	1001	306.9673819079013	81.30341013062016	True	True	4096	mapping	False	46728	0	116133	False	['range_factorized', 'gzipped']	[1144, 1878, 2739, 4100, 31214]	30d7837b9b5ec1f21013a231b603874664d8862dabaf2fab27e82baf21146cb7	1ecb82ade08c5ee3dd262d5c676122d31a11e5ab6f7d46333638b37eec97d3c1	73fd6a8c3e5de42cc69681266626ebc9d296d1b534eb0cccd73c93106cd145c5d048794bdc7181bb1231a611f5bf33cb70eb6d30e954e7fe68564c8e16a07949	b9bc5cca2cb31ced5b536b561a6fc1a3c092ec9596486a897fe008f0aba83a93f96565ff8f07615f3f76c77c48fedada6ded6caf3f24a9db5c9a17b638e9d5f1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	13339864	12245805	0	27377	14636	62104	91.7985745581814	quant	Sun Jan 25 18:47:56 2026	Sun Jan 25 18:49:01 2026
TAL258	1.10.3	none	vb	[]	1	['ISR']	1001	301.68909529147084	80.51545413761649	True	True	4096	mapping	False	46728	0	116680	False	['range_factorized', 'gzipped']	[1144, 1878, 2739, 4100, 31214]	30d7837b9b5ec1f21013a231b603874664d8862dabaf2fab27e82baf21146cb7	1ecb82ade08c5ee3dd262d5c676122d31a11e5ab6f7d46333638b37eec97d3c1	73fd6a8c3e5de42cc69681266626ebc9d296d1b534eb0cccd73c93106cd145c5d048794bdc7181bb1231a611f5bf33cb70eb6d30e954e7fe68564c8e16a07949	b9bc5cca2cb31ced5b536b561a6fc1a3c092ec9596486a897fe008f0aba83a93f96565ff8f07615f3f76c77c48fedada6ded6caf3f24a9db5c9a17b638e9d5f1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	12620387	11536478	0	27262	14468	64706	91.41144403891893	quant	Sun Jan 25 18:49:02 2026	Sun Jan 25 18:50:04 2026
