Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
SRR8524928	1.10.3	none	vb	[]	1	['ISR']	1001	176.01337610285594	64.17052871987441	True	True	4096	mapping	False	46728	0	361739	False	['range_factorized', 'gzipped']	[1144, 1878, 2739, 4100, 31214]	30d7837b9b5ec1f21013a231b603874664d8862dabaf2fab27e82baf21146cb7	1ecb82ade08c5ee3dd262d5c676122d31a11e5ab6f7d46333638b37eec97d3c1	73fd6a8c3e5de42cc69681266626ebc9d296d1b534eb0cccd73c93106cd145c5d048794bdc7181bb1231a611f5bf33cb70eb6d30e954e7fe68564c8e16a07949	b9bc5cca2cb31ced5b536b561a6fc1a3c092ec9596486a897fe008f0aba83a93f96565ff8f07615f3f76c77c48fedada6ded6caf3f24a9db5c9a17b638e9d5f1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	37074690	27107131	0	346170	885829	12586941	73.11492287595661	quant	Sun Jan 25 21:51:21 2026	Sun Jan 25 21:54:22 2026
SRR8524929	1.10.3	none	vb	[]	1	['ISR']	1001	177.1096503381481	65.37784239094894	True	True	4096	mapping	False	46728	0	324380	False	['range_factorized', 'gzipped']	[1144, 1878, 2739, 4100, 31214]	30d7837b9b5ec1f21013a231b603874664d8862dabaf2fab27e82baf21146cb7	1ecb82ade08c5ee3dd262d5c676122d31a11e5ab6f7d46333638b37eec97d3c1	73fd6a8c3e5de42cc69681266626ebc9d296d1b534eb0cccd73c93106cd145c5d048794bdc7181bb1231a611f5bf33cb70eb6d30e954e7fe68564c8e16a07949	b9bc5cca2cb31ced5b536b561a6fc1a3c092ec9596486a897fe008f0aba83a93f96565ff8f07615f3f76c77c48fedada6ded6caf3f24a9db5c9a17b638e9d5f1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	29376413	21350458	0	256843	728686	9516985	72.67891420235684	quant	Sun Jan 25 21:54:23 2026	Sun Jan 25 21:56:48 2026
SRR8524930	1.10.3	none	vb	[]	1	['ISR']	1001	174.98887273698784	67.64867135889627	True	True	4096	mapping	False	46728	0	323330	False	['range_factorized', 'gzipped']	[1144, 1878, 2739, 4100, 31214]	30d7837b9b5ec1f21013a231b603874664d8862dabaf2fab27e82baf21146cb7	1ecb82ade08c5ee3dd262d5c676122d31a11e5ab6f7d46333638b37eec97d3c1	73fd6a8c3e5de42cc69681266626ebc9d296d1b534eb0cccd73c93106cd145c5d048794bdc7181bb1231a611f5bf33cb70eb6d30e954e7fe68564c8e16a07949	b9bc5cca2cb31ced5b536b561a6fc1a3c092ec9596486a897fe008f0aba83a93f96565ff8f07615f3f76c77c48fedada6ded6caf3f24a9db5c9a17b638e9d5f1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	35090326	23606490	0	327542	928212	13643302	67.27349868450922	quant	Sun Jan 25 21:56:50 2026	Sun Jan 25 21:59:40 2026
SRR8524931	1.10.3	none	vb	[]	1	['ISR']	1001	182.46980691980912	71.65343175461537	True	True	4096	mapping	False	46728	0	304294	False	['range_factorized', 'gzipped']	[1144, 1878, 2739, 4100, 31214]	30d7837b9b5ec1f21013a231b603874664d8862dabaf2fab27e82baf21146cb7	1ecb82ade08c5ee3dd262d5c676122d31a11e5ab6f7d46333638b37eec97d3c1	73fd6a8c3e5de42cc69681266626ebc9d296d1b534eb0cccd73c93106cd145c5d048794bdc7181bb1231a611f5bf33cb70eb6d30e954e7fe68564c8e16a07949	b9bc5cca2cb31ced5b536b561a6fc1a3c092ec9596486a897fe008f0aba83a93f96565ff8f07615f3f76c77c48fedada6ded6caf3f24a9db5c9a17b638e9d5f1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	32918223	22415767	0	288398	858285	12493599	68.0953130428699	quant	Sun Jan 25 21:59:41 2026	Sun Jan 25 22:02:25 2026
SRR8524932	1.10.3	none	vb	[]	1	['ISR']	1001	178.01402586705626	69.46314680749313	True	True	4096	mapping	False	46728	0	352700	False	['range_factorized', 'gzipped']	[1144, 1878, 2739, 4100, 31214]	30d7837b9b5ec1f21013a231b603874664d8862dabaf2fab27e82baf21146cb7	1ecb82ade08c5ee3dd262d5c676122d31a11e5ab6f7d46333638b37eec97d3c1	73fd6a8c3e5de42cc69681266626ebc9d296d1b534eb0cccd73c93106cd145c5d048794bdc7181bb1231a611f5bf33cb70eb6d30e954e7fe68564c8e16a07949	b9bc5cca2cb31ced5b536b561a6fc1a3c092ec9596486a897fe008f0aba83a93f96565ff8f07615f3f76c77c48fedada6ded6caf3f24a9db5c9a17b638e9d5f1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	42587497	28772829	0	361114	1123068	16165257	67.56168130754433	quant	Sun Jan 25 22:02:26 2026	Sun Jan 25 22:05:49 2026
SRR8524933	1.10.3	none	vb	[]	1	['ISR']	1001	174.5388993728763	67.41915675789555	True	True	4096	mapping	False	46728	0	305088	False	['range_factorized', 'gzipped']	[1144, 1878, 2739, 4100, 31214]	30d7837b9b5ec1f21013a231b603874664d8862dabaf2fab27e82baf21146cb7	1ecb82ade08c5ee3dd262d5c676122d31a11e5ab6f7d46333638b37eec97d3c1	73fd6a8c3e5de42cc69681266626ebc9d296d1b534eb0cccd73c93106cd145c5d048794bdc7181bb1231a611f5bf33cb70eb6d30e954e7fe68564c8e16a07949	b9bc5cca2cb31ced5b536b561a6fc1a3c092ec9596486a897fe008f0aba83a93f96565ff8f07615f3f76c77c48fedada6ded6caf3f24a9db5c9a17b638e9d5f1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	33170978	22181204	0	313644	886637	13030456	66.86930967184628	quant	Sun Jan 25 22:05:50 2026	Sun Jan 25 22:08:38 2026
SRR8524934	1.10.3	none	vb	[]	1	['ISR']	1001	181.86903897871431	70.84923869558376	True	True	4096	mapping	False	46728	0	333933	False	['range_factorized', 'gzipped']	[1144, 1878, 2739, 4100, 31214]	30d7837b9b5ec1f21013a231b603874664d8862dabaf2fab27e82baf21146cb7	1ecb82ade08c5ee3dd262d5c676122d31a11e5ab6f7d46333638b37eec97d3c1	73fd6a8c3e5de42cc69681266626ebc9d296d1b534eb0cccd73c93106cd145c5d048794bdc7181bb1231a611f5bf33cb70eb6d30e954e7fe68564c8e16a07949	b9bc5cca2cb31ced5b536b561a6fc1a3c092ec9596486a897fe008f0aba83a93f96565ff8f07615f3f76c77c48fedada6ded6caf3f24a9db5c9a17b638e9d5f1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	38182746	25757768	0	315099	1010908	14744753	67.45918169426578	quant	Sun Jan 25 22:08:39 2026	Sun Jan 25 22:11:41 2026
SRR8524935	1.10.3	none	vb	[]	1	['ISR']	1001	175.43013028192757	68.82429475921614	True	True	4096	mapping	False	46728	0	309090	False	['range_factorized', 'gzipped']	[1144, 1878, 2739, 4100, 31214]	30d7837b9b5ec1f21013a231b603874664d8862dabaf2fab27e82baf21146cb7	1ecb82ade08c5ee3dd262d5c676122d31a11e5ab6f7d46333638b37eec97d3c1	73fd6a8c3e5de42cc69681266626ebc9d296d1b534eb0cccd73c93106cd145c5d048794bdc7181bb1231a611f5bf33cb70eb6d30e954e7fe68564c8e16a07949	b9bc5cca2cb31ced5b536b561a6fc1a3c092ec9596486a897fe008f0aba83a93f96565ff8f07615f3f76c77c48fedada6ded6caf3f24a9db5c9a17b638e9d5f1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	33703571	23019692	0	308149	852710	12233172	68.30045397860066	quant	Sun Jan 25 22:11:42 2026	Sun Jan 25 22:14:28 2026
SRR8524936	1.10.3	none	vb	[]	1	['ISR']	1001	177.43730542049872	68.84619150583666	True	True	4096	mapping	False	46728	0	390238	False	['range_factorized', 'gzipped']	[1144, 1878, 2739, 4100, 31214]	30d7837b9b5ec1f21013a231b603874664d8862dabaf2fab27e82baf21146cb7	1ecb82ade08c5ee3dd262d5c676122d31a11e5ab6f7d46333638b37eec97d3c1	73fd6a8c3e5de42cc69681266626ebc9d296d1b534eb0cccd73c93106cd145c5d048794bdc7181bb1231a611f5bf33cb70eb6d30e954e7fe68564c8e16a07949	b9bc5cca2cb31ced5b536b561a6fc1a3c092ec9596486a897fe008f0aba83a93f96565ff8f07615f3f76c77c48fedada6ded6caf3f24a9db5c9a17b638e9d5f1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	42812823	27941185	0	405622	1156969	17845741	65.2635893690075	quant	Sun Jan 25 22:14:30 2026	Sun Jan 25 22:18:00 2026
SRR8524937	1.10.3	none	vb	[]	1	['ISR']	1001	180.99599386977698	72.19379913346063	True	True	4096	mapping	False	46728	0	337156	False	['range_factorized', 'gzipped']	[1144, 1878, 2739, 4100, 31214]	30d7837b9b5ec1f21013a231b603874664d8862dabaf2fab27e82baf21146cb7	1ecb82ade08c5ee3dd262d5c676122d31a11e5ab6f7d46333638b37eec97d3c1	73fd6a8c3e5de42cc69681266626ebc9d296d1b534eb0cccd73c93106cd145c5d048794bdc7181bb1231a611f5bf33cb70eb6d30e954e7fe68564c8e16a07949	b9bc5cca2cb31ced5b536b561a6fc1a3c092ec9596486a897fe008f0aba83a93f96565ff8f07615f3f76c77c48fedada6ded6caf3f24a9db5c9a17b638e9d5f1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	39174052	27359791	0	340608	978512	14405684	69.8416160779079	quant	Sun Jan 25 22:18:01 2026	Sun Jan 25 22:21:11 2026
